,Pixels_Areas,Length_of_Conveyer,Steel_Type_A300,Steel_Type_A400,Steel_Plate_Thickness,Empty_Index,Square_Index,Outside_Global_Index,Orientation_Index,Luminosity_Index,Pastry,Z_Scratch,K_Scratch,Stains,Dirtiness,Bumps,Other_Faults,X_Range,Y_Range,Defect_Area,Edge,Outside_X_Range,Log_Area,Luminosity_Sum_Range,Log_Area_Sigmoid
0,267,1687,1,0,80,0.2415,0.1818,1.0,0.8182,-0.2913,1,0,0,0,0,0,0,8,44,748,0.10582235444113897,0.0376,1.634836977984476,775040,0.951802088582562
1,108,1687,1,0,80,0.3793,0.2069,1.0,0.7931,-0.1756,1,0,0,0,0,0,0,6,29,300,1.3184028136960795,0.0216,1.7867551096679604,444483,0.5331677247249194
2,71,1623,1,0,100,0.3426,0.3333,1.0,0.6667,-0.1228,1,0,0,0,0,0,0,6,18,152,1.3665470410245584,0.0222,1.8951238676831945,207272,0.4074516315518868
3,176,1353,0,1,290,0.4413,0.1556,1.0,0.8444,-0.1568,1,0,0,0,0,0,0,7,45,585,1.3532033426183845,0.0364,1.607234515063098,512892,0.8376906292508867
4,2409,1353,0,1,185,0.4486,0.0662,1.0,0.9338,-0.1992,1,0,0,0,0,0,0,17,257,15600,0.24817701484473495,0.2142,1.140426062003223,21976770,1.140426062003223
5,630,1387,0,1,40,0.3417,0.1264,1.0,0.8736,-0.2267,1,0,0,0,0,0,0,11,87,1740,1.1272727272727272,0.0869,1.3859318387700779,3928491,1.368469097601575
6,9052,1687,0,1,150,0.339,0.0795,1.0,0.9205,0.2791,1,0,0,0,0,0,0,33,415,99360,3.551417393458385,0.6467999999999999,0.9952495429069906,260830416,0.9952495429069906
7,132,1687,0,1,150,0.34,0.5,1.0,0.5,0.1841,1,0,0,0,0,0,0,10,20,220,0.24782752172478276,0.059,1.6299756879510472,960336,0.5475088335827567
8,264,1687,0,1,150,0.2189,0.5,1.0,0.5,-0.1197,1,0,0,0,0,0,0,13,26,390,0.45136725510557285,0.10010000000000001,1.5363829841904697,2826060,0.8592990030577298
9,1506,1687,0,1,150,0.4261,0.0976,1.0,0.9024,-0.0651,1,0,0,0,0,0,0,16,164,7682,0.25677842335120143,0.152,1.1915967955023112,16219350,1.1915967955023112
10,442,1687,0,1,150,0.2326,0.25,1.0,0.75,-0.1093,1,0,0,0,0,0,0,12,48,624,0.13617159571010726,0.0852,1.4580411858770252,3376331,1.2556650692772942
11,284,1687,0,1,150,0.5562,0.1563,1.0,0.8438,-0.1455,1,0,0,0,0,0,0,10,64,2898,2.7110401188202653,0.059,1.35826522075893,683364,1.22895837174268
12,480,1687,0,1,150,0.2593,0.2222,1.0,0.7778,0.0086,1,0,0,0,0,0,0,12,54,810,0.06812499999999999,0.0852,1.4340981207666375,3470096,1.3040254212131035
13,433,1687,0,1,150,0.1981,0.15,1.0,0.85,-0.2978,1,0,0,0,0,0,0,9,60,1320,1.6836959178684916,0.0477,1.5539316970958104,1906933,1.289607915419813
14,728,1687,0,1,150,0.2533,0.2308,1.0,0.7692,-0.2568,1,0,0,0,0,0,0,15,65,2040,1.1187362694842555,0.1335,1.3423522684015656,6718026,1.3273179229954681
15,1097,1687,0,1,150,0.446,0.1136,1.0,0.8864,-0.1487,1,0,0,0,0,0,0,15,132,7847,3.1435609716461186,0.1335,1.2189867177119058,10041360,1.2189867177119058
16,5044,1687,0,1,150,0.4772,0.1343,1.0,0.8657,-0.1157,1,0,0,0,0,0,0,36,268,47094,0.9024588856521629,0.7667999999999999,0.9798740439503145,75360252,0.9798740439503145
17,552,1687,0,1,150,0.4599,0.1918,1.0,0.8082,-0.1543,1,0,0,0,0,0,0,14,73,2888,0.3015417345630132,0.1162,1.2839440874309214,3286250,1.2734157459139879
18,137,1687,0,1,150,0.2171,0.28,1.0,0.72,-0.1499,1,0,0,0,0,0,0,7,25,200,0.11108571428571427,0.028700000000000003,1.808668503652665,506838,0.542238817395069
19,209,1687,0,1,200,0.3549,0.4444,1.0,0.5556,-0.0727,1,0,0,0,0,0,0,12,27,405,0.109625,0.0852,1.5019084938508693,1116315,0.8053233344028361
20,284,1687,0,1,200,0.2406,0.3235,1.0,0.6765,-0.1031,1,0,0,0,0,0,0,11,34,612,0.03305514645720831,0.0715,1.5382106433793459,1760616,0.9495374301580701
21,153,1687,0,1,200,0.4138,0.3103,1.0,0.6897,-0.0935,1,0,0,0,0,0,0,9,29,377,0.07366748519427993,0.0477,1.5656183642884853,585849,0.675877447863339
22,106,1687,0,1,200,0.3801,0.4737,1.0,0.5263,0.0192,1,0,0,0,0,0,0,9,19,190,0.083,0.0477,1.6598961948963518,594647,0.48834146053850674
23,264,1687,0,1,200,0.3231,0.2564,1.0,0.7436,-0.0479,1,0,0,0,0,0,0,10,39,585,0.14579271036448177,0.059,1.5219649789673946,1576575,0.9774059094928608
24,201,1687,0,1,200,0.3232,0.2727,1.0,0.7273,0.063,1,0,0,0,0,0,0,9,33,595,0.17809518921421882,0.0477,1.5895607982504893,683725,0.7809512201804655
25,171,1373,0,1,40,0.1739,0.3913,1.0,0.6087,-0.2395,1,0,0,0,0,0,0,9,23,207,0.0015,0.0594,1.7185712379024862,565930,0.5953130768094212
26,395,1373,0,1,40,0.2766,0.359,1.0,0.641,-0.2341,1,0,0,0,0,0,0,14,39,741,0.002035830618892508,0.1428,1.4239174960070293,1665046,1.189683067913873
27,85,1627,0,1,40,0.213,0.3333,1.0,0.6667,-0.1776,1,0,0,0,0,0,0,6,18,162,0.40017999100045,0.0222,1.9750726464149275,196856,0.4246406189792094
28,3214,1373,0,1,40,0.3902,0.0837,1.0,0.9163,-0.1045,1,0,0,0,0,0,0,21,251,23276,0.45651933675069406,0.3213,1.1053349647154171,39416767,1.1053349647154171
29,386,1373,0,1,40,0.2186,0.3421,1.0,0.6579,-0.2537,1,0,0,0,0,0,0,13,38,570,0.08238144686742818,0.1235,1.4698760479543964,2691875,1.1497370447099289
30,182,1373,0,1,40,0.2121,0.2121,1.0,0.7879,-0.1093,1,0,0,0,0,0,0,7,33,297,1.0038570326562097,0.0357,1.7611827330530971,684783,0.6752374598525575
31,527,1387,0,1,40,0.3565,0.2063,1.0,0.7936,-0.2767,1,0,0,0,0,0,0,13,63,1197,0.19175679625840397,0.1222,1.3580201349710759,3805854,1.3160573128004696
32,158,1387,0,1,40,0.0595,0.2917,1.0,0.7083,-0.1752,1,0,0,0,0,0,0,7,24,216,0.29853432759064025,0.035,1.8850179030833483,650520,0.5468436936844794
33,214,1387,0,1,50,0.2357,0.3571,1.0,0.6429,-0.2785,1,0,0,0,0,0,0,10,28,280,0.0707,0.072,1.610280811027632,810242,0.7455600155057936
34,994,1387,0,1,50,0.3029,0.371,1.0,0.629,-0.4588,1,0,0,0,0,0,0,23,62,1798,0.2053965452023704,0.38180000000000003,1.228084223682787,7160504,1.2273473731485771
35,367,1387,0,1,50,0.2888,0.2791,1.0,0.7209,-0.2367,1,0,0,0,0,0,0,12,43,688,1.2342666666666666,0.10439999999999999,1.4548400560856813,2581632,1.1727465692106678
36,320,1353,0,1,70,0.3162,0.3077,1.0,0.6923,-0.2015,1,0,0,0,0,0,0,12,39,585,0.022125,0.1068,1.4589578251702628,2289350,1.0959691182679014
37,378,1353,0,1,70,0.4676,0.1408,1.0,0.8591,-0.1046,1,0,0,0,0,0,0,10,71,2448,0.8258278683010404,0.07400000000000001,1.392264142891945,2512734,1.3060829924469335
38,210,1333,0,1,40,0.5625,0.2083,1.0,0.7917,-0.3522,1,0,0,0,0,0,0,10,48,1728,0.0,0.075,1.3812744579618976,470151,1.0579181073530175
39,201,1633,0,1,250,0.2717,0.5217,1.0,0.4783,-0.184,1,0,0,0,0,0,0,12,23,506,0.008984231756508984,0.0888,1.5672850184019895,986671,0.715308882398668
